1,RUSIJA,(RU)
2,NJEMACKA,(NJEM)
3,TURSKA,(TUR)
4,FRANCUSKA,(FRA)
5,UJEDINJENOKRALJEVSTVO,(UN)
6,ITALIJA,(ITA)
7,UKRAJINA,(UKR)
8,SPANJOLSKA,(SPA)
9,POLJSKA,(POL) 
10,RUMUNJSKA,(RUM)
11,NIZOZEMSKA,(NED)
12,GRCKA,(GRE)
13,PORTUGAL,(POR) 
14,BELGIJA,(BEL) 
15,CESKA,(CE)
16,SRBIJA,(SRB)
17,MADARSKA,(MAD)
18,BJELORUSIJA,(BJEL)
19,SVEDSKA,(SVE)
20,AUSTRIJA,(AUT)
21,SVICARSKA,(SVI)
22,BUGARSKA,(BUG)
23,DANSKA,(DAN)
24,SLOVACKA,(SLC)
25,FINSKA,(FIN)
26,NORVESKA,(NOR)
27,BOSNAIHERCEGOVINA,(BIH)
28,HRVATSKA,(HR)
29,MOLDAVIJA,(MOL)
30,IRSKA,(IR)
31,ALBANIJA,(AL)
32,LITVA,(LITVA)
33,LETONIJA,(LE)
34,KOSOVO,(KO)
35,MAKEDNIJA,(MAK)
36,SLOVENIJA,(SLO) 
37,ESTONIJA,(EST) 
38,CRNAGORA,(CG)
39,LUKSEMBURG,(LU)
40,MALTA,(MAL)
41,ISLAND,(ISL)
42,ANDORA,(AND)
43,LIHTENSTAJN,(LIH)
44,MONAKO,(MON)
45,SANMARINO,(SM)
46,VATIKAN,(VA)
